DELETE board;

INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목1', '본문1', '작성자아이디1', '작성자닉네임1' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목184', '본문184', '작성자아이디184', '작성자닉네임184' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목185', '본문185', '작성자아이디185', '작성자닉네임185' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목186', '본문186', '작성자아이디186', '작성자닉네임186' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목187', '본문187', '작성자아이디187', '작성자닉네임187' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목188', '본문188', '작성자아이디188', '작성자닉네임188' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목189', '본문189', '작성자아이디189', '작성자닉네임189' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목190', '본문190', '작성자아이디190', '작성자닉네임190' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목191', '본문191', '작성자아이디191', '작성자닉네임191' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목192', '본문192', '작성자아이디192', '작성자닉네임192' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목193', '본문193', '작성자아이디193', '작성자닉네임193' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목194', '본문194', '작성자아이디194', '작성자닉네임194' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목195', '본문195', '작성자아이디195', '작성자닉네임195' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목196', '본문196', '작성자아이디196', '작성자닉네임196' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목197', '본문197', '작성자아이디197', '작성자닉네임197' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목198', '본문198', '작성자아이디198', '작성자닉네임198' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목199', '본문199', '작성자아이디199', '작성자닉네임199' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목200', '본문200', '작성자아이디200', '작성자닉네임200' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목201', '본문201', '작성자아이디201', '작성자닉네임201' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목202', '본문202', '작성자아이디202', '작성자닉네임202' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목203', '본문203', '작성자아이디203', '작성자닉네임203' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목204', '본문204', '작성자아이디204', '작성자닉네임204' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목205', '본문205', '작성자아이디205', '작성자닉네임205' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목206', '본문206', '작성자아이디206', '작성자닉네임206' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목207', '본문207', '작성자아이디207', '작성자닉네임207' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목208', '본문208', '작성자아이디208', '작성자닉네임208' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목209', '본문209', '작성자아이디209', '작성자닉네임209' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목210', '본문210', '작성자아이디210', '작성자닉네임210' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목211', '본문211', '작성자아이디211', '작성자닉네임211' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목212', '본문212', '작성자아이디212', '작성자닉네임212' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목213', '본문213', '작성자아이디213', '작성자닉네임213' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목214', '본문214', '작성자아이디214', '작성자닉네임214' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목215', '본문215', '작성자아이디215', '작성자닉네임215' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목216', '본문216', '작성자아이디216', '작성자닉네임216' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목217', '본문217', '작성자아이디217', '작성자닉네임217' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목218', '본문218', '작성자아이디218', '작성자닉네임218' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목219', '본문219', '작성자아이디219', '작성자닉네임219' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목220', '본문220', '작성자아이디220', '작성자닉네임220' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목221', '본문221', '작성자아이디221', '작성자닉네임221' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목222', '본문222', '작성자아이디222', '작성자닉네임222' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목223', '본문223', '작성자아이디223', '작성자닉네임223' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목224', '본문224', '작성자아이디224', '작성자닉네임224' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목225', '본문225', '작성자아이디225', '작성자닉네임225' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목226', '본문226', '작성자아이디226', '작성자닉네임226' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목227', '본문227', '작성자아이디227', '작성자닉네임227' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목228', '본문228', '작성자아이디228', '작성자닉네임228' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목229', '본문229', '작성자아이디229', '작성자닉네임229' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목230', '본문230', '작성자아이디230', '작성자닉네임230' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목231', '본문231', '작성자아이디231', '작성자닉네임231' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목232', '본문232', '작성자아이디232', '작성자닉네임232' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목233', '본문233', '작성자아이디233', '작성자닉네임233' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목234', '본문234', '작성자아이디234', '작성자닉네임234' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목235', '본문235', '작성자아이디235', '작성자닉네임235' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목236', '본문236', '작성자아이디236', '작성자닉네임236' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목237', '본문237', '작성자아이디237', '작성자닉네임237' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목238', '본문238', '작성자아이디238', '작성자닉네임238' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목239', '본문239', '작성자아이디239', '작성자닉네임239' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목240', '본문240', '작성자아이디240', '작성자닉네임240' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목241', '본문241', '작성자아이디241', '작성자닉네임241' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목242', '본문242', '작성자아이디242', '작성자닉네임242' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목243', '본문243', '작성자아이디243', '작성자닉네임243' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목244', '본문244', '작성자아이디244', '작성자닉네임244' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목245', '본문245', '작성자아이디245', '작성자닉네임245' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목246', '본문246', '작성자아이디246', '작성자닉네임246' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목247', '본문247', '작성자아이디247', '작성자닉네임247' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목248', '본문248', '작성자아이디248', '작성자닉네임248' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목249', '본문249', '작성자아이디249', '작성자닉네임249' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목250', '본문250', '작성자아이디250', '작성자닉네임250' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목251', '본문251', '작성자아이디251', '작성자닉네임251' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목252', '본문252', '작성자아이디252', '작성자닉네임252' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목253', '본문253', '작성자아이디253', '작성자닉네임253' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목254', '본문254', '작성자아이디254', '작성자닉네임254' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목255', '본문255', '작성자아이디255', '작성자닉네임255' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목256', '본문256', '작성자아이디256', '작성자닉네임256' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목257', '본문257', '작성자아이디257', '작성자닉네임257' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목258', '본문258', '작성자아이디258', '작성자닉네임258' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목259', '본문259', '작성자아이디259', '작성자닉네임259' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목260', '본문260', '작성자아이디260', '작성자닉네임260' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목261', '본문261', '작성자아이디261', '작성자닉네임261' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목262', '본문262', '작성자아이디262', '작성자닉네임262' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목263', '본문263', '작성자아이디263', '작성자닉네임263' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목264', '본문264', '작성자아이디264', '작성자닉네임264' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목265', '본문265', '작성자아이디265', '작성자닉네임265' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목266', '본문266', '작성자아이디266', '작성자닉네임266' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목267', '본문267', '작성자아이디267', '작성자닉네임267' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목268', '본문268', '작성자아이디268', '작성자닉네임268' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목269', '본문269', '작성자아이디269', '작성자닉네임269' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목270', '본문270', '작성자아이디270', '작성자닉네임270' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목271', '본문271', '작성자아이디271', '작성자닉네임271' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목272', '본문272', '작성자아이디272', '작성자닉네임272' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목273', '본문273', '작성자아이디273', '작성자닉네임273' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목274', '본문274', '작성자아이디274', '작성자닉네임274' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목275', '본문275', '작성자아이디275', '작성자닉네임275' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목276', '본문276', '작성자아이디276', '작성자닉네임276' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목277', '본문277', '작성자아이디277', '작성자닉네임277' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목278', '본문278', '작성자아이디278', '작성자닉네임278' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목279', '본문279', '작성자아이디279', '작성자닉네임279' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목280', '본문280', '작성자아이디280', '작성자닉네임280' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목281', '본문281', '작성자아이디281', '작성자닉네임281' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목282', '본문282', '작성자아이디282', '작성자닉네임282' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목283', '본문283', '작성자아이디283', '작성자닉네임283' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목284', '본문284', '작성자아이디284', '작성자닉네임284' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목285', '본문285', '작성자아이디285', '작성자닉네임285' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목286', '본문286', '작성자아이디286', '작성자닉네임286' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목287', '본문287', '작성자아이디287', '작성자닉네임287' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목288', '본문288', '작성자아이디288', '작성자닉네임288' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목289', '본문289', '작성자아이디289', '작성자닉네임289' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목290', '본문290', '작성자아이디290', '작성자닉네임290' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목291', '본문291', '작성자아이디291', '작성자닉네임291' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목292', '본문292', '작성자아이디292', '작성자닉네임292' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목293', '본문293', '작성자아이디293', '작성자닉네임293' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목294', '본문294', '작성자아이디294', '작성자닉네임294' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목295', '본문295', '작성자아이디295', '작성자닉네임295' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목296', '본문296', '작성자아이디296', '작성자닉네임296' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목297', '본문297', '작성자아이디297', '작성자닉네임297' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목298', '본문298', '작성자아이디298', '작성자닉네임298' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목299', '본문299', '작성자아이디299', '작성자닉네임299' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목300', '본문300', '작성자아이디300', '작성자닉네임300' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목301', '본문301', '작성자아이디301', '작성자닉네임301' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목302', '본문302', '작성자아이디302', '작성자닉네임302' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목303', '본문303', '작성자아이디303', '작성자닉네임303' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목304', '본문304', '작성자아이디304', '작성자닉네임304' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목305', '본문305', '작성자아이디305', '작성자닉네임305' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목306', '본문306', '작성자아이디306', '작성자닉네임306' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목307', '본문307', '작성자아이디307', '작성자닉네임307' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목308', '본문308', '작성자아이디308', '작성자닉네임308' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목309', '본문309', '작성자아이디309', '작성자닉네임309' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목310', '본문310', '작성자아이디310', '작성자닉네임310' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목311', '본문311', '작성자아이디311', '작성자닉네임311' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목312', '본문312', '작성자아이디312', '작성자닉네임312' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목313', '본문313', '작성자아이디313', '작성자닉네임313' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목314', '본문314', '작성자아이디314', '작성자닉네임314' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목315', '본문315', '작성자아이디315', '작성자닉네임315' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목316', '본문316', '작성자아이디316', '작성자닉네임316' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목317', '본문317', '작성자아이디317', '작성자닉네임317' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목318', '본문318', '작성자아이디318', '작성자닉네임318' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목319', '본문319', '작성자아이디319', '작성자닉네임319' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목320', '본문320', '작성자아이디320', '작성자닉네임320' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목321', '본문321', '작성자아이디321', '작성자닉네임321' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목322', '본문322', '작성자아이디322', '작성자닉네임322' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목323', '본문323', '작성자아이디323', '작성자닉네임323' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목324', '본문324', '작성자아이디324', '작성자닉네임324' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목325', '본문325', '작성자아이디325', '작성자닉네임325' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목326', '본문326', '작성자아이디326', '작성자닉네임326' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목327', '본문327', '작성자아이디327', '작성자닉네임327' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목328', '본문328', '작성자아이디328', '작성자닉네임328' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목329', '본문329', '작성자아이디329', '작성자닉네임329' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목330', '본문330', '작성자아이디330', '작성자닉네임330' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목331', '본문331', '작성자아이디331', '작성자닉네임331' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목332', '본문332', '작성자아이디332', '작성자닉네임332' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목333', '본문333', '작성자아이디333', '작성자닉네임333' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목334', '본문334', '작성자아이디334', '작성자닉네임334' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목335', '본문335', '작성자아이디335', '작성자닉네임335' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목336', '본문336', '작성자아이디336', '작성자닉네임336' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목337', '본문337', '작성자아이디337', '작성자닉네임337' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목338', '본문338', '작성자아이디338', '작성자닉네임338' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목339', '본문339', '작성자아이디339', '작성자닉네임339' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목340', '본문340', '작성자아이디340', '작성자닉네임340' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목341', '본문341', '작성자아이디341', '작성자닉네임341' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목342', '본문342', '작성자아이디342', '작성자닉네임342' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목343', '본문343', '작성자아이디343', '작성자닉네임343' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목344', '본문344', '작성자아이디344', '작성자닉네임344' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목345', '본문345', '작성자아이디345', '작성자닉네임345' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목346', '본문346', '작성자아이디346', '작성자닉네임346' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목347', '본문347', '작성자아이디347', '작성자닉네임347' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목348', '본문348', '작성자아이디348', '작성자닉네임348' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목349', '본문349', '작성자아이디349', '작성자닉네임349' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목350', '본문350', '작성자아이디350', '작성자닉네임350' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목351', '본문351', '작성자아이디351', '작성자닉네임351' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목352', '본문352', '작성자아이디352', '작성자닉네임352' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목353', '본문353', '작성자아이디353', '작성자닉네임353' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목354', '본문354', '작성자아이디354', '작성자닉네임354' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목355', '본문355', '작성자아이디355', '작성자닉네임355' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목356', '본문356', '작성자아이디356', '작성자닉네임356' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목357', '본문357', '작성자아이디357', '작성자닉네임357' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목358', '본문358', '작성자아이디358', '작성자닉네임358' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목359', '본문359', '작성자아이디359', '작성자닉네임359' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목360', '본문360', '작성자아이디360', '작성자닉네임360' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목361', '본문361', '작성자아이디361', '작성자닉네임361' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목362', '본문362', '작성자아이디362', '작성자닉네임362' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목363', '본문363', '작성자아이디363', '작성자닉네임363' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목364', '본문364', '작성자아이디364', '작성자닉네임364' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목365', '본문365', '작성자아이디365', '작성자닉네임365' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목366', '본문366', '작성자아이디366', '작성자닉네임366' );
